"ID","COMP1","COMP2","HVTYPE","KIJSRK","KIJTSRK","KIJTType","KIJPR","KIJTPR","KIJPCSAFT","HVALPHA","HVGIJ","HVGJI","CalcWij","W1","W2","W3","WSTYPE","KIJWS","NRTLALPHA","NRTLGIJ","NRTLGJI","GIJVISC","HVGIJT","HVGJIT","WSGIJT","WSGJIT","cpakij_SRK","cpakijT_SRK","cpakijx_SRK","cpakjix_SRK","cpakij_PR","KIJWSunifac","aijDesMath","bijDesMath","cpaAssosiationType","cpaBetaCross","cpaEpsCross"
7754,"3-m-C5                                            ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7755,"n-hexane                                          ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.36,601.70,2063.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.36,601.70,2063.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0,0.00,0.00
7757,"m-c-C5                                            ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7758,"benzene                                           ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.00,1,0.08,0.00
7759,"c-hexane                                          ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7760,"223-tm-C4                                         ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7761,"3,3-dim-C5                                        ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7763,"m-c-C6                                            ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7764,"et-c-C5                                           ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7765,"toluene                                           ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.00,1,0.04,0.00
7766,"c-c7                                              ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7767,"11-dm-c-C6                                        ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7768,"c-c8                                              ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.36,601.70,2063.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.36,601.70,2063.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7769,"c-12-dmcC6                                        ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7770,"et-benzene                                        ","TEG                                               ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7771,"MDEA+                                             ","TEG                                               ","HV                                                ",1.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7772,"H3O+                                              ","TEG                                               ","Classic                                           ",1.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7773,"MDEA                                              ","TEG                                               ","HV                                                ",0.00,0.00,0,0.00,0.00,0.00,0.38,-1124.83,763.56,0,0.00,0.00,0.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7774,"HCO3-                                             ","TEG                                               ","Classic                                           ",1.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7775,"OH-                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7776,"Na+                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7777,"Cl-                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7778,"Ca++                                              ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7779,"Li+                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7780,"Br-                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7781,"NH4+                                              ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7782,"CO3--                                             ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7783,"DEACOO-                                           ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7784,"DEA                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7785,"DEA+                                              ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7786,"BEA                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7787,"BEA+                                              ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7788,"BEACOO-                                           ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7789,"K+                                                ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7790,"HS-                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7791,"S--                                               ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7792,"I-                                                ","TEG                                               ","Classic                                           ",1.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0,0.00,0.00
7793,"Mg++                                              ","TEG                                               ","Classic                                           ",0.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7794,"Ba++                                              ","TEG                                               ","Classic                                           ",0.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7795,"Sr++                                              ","TEG                                               ","Classic                                           ",0.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7797,"methanol                                          ","oxygen                                            ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"WS                                                ",0.50,0.39,1610.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7798,"ethanol                                           ","oxygen                                            ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"WS                                                ",0.50,0.39,1610.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7799,"MEG                                               ","oxygen                                            ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.36,2063.00,601.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7800,"DEG                                               ","oxygen                                            ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.36,2063.00,601.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7801,"TEG                                               ","oxygen                                            ","Classic                                           ",0.20,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.36,2063.00,601.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7802,"NaCl                                              ","oxygen                                            ","Classic                                           ",0.80,0.00,0,0.80,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"WS                                                ",0.50,0.08,7623.00,5281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7803,"KCl                                               ","oxygen                                            ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.09,6733.00,4007.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7804,"CaCl2                                             ","oxygen                                            ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"WS                                                ",0.50,0.05,8790.00,14765.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0,0.00,0.00
7805,"HCOONa                                            ","oxygen                                            ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0,0.00,0.00
7806,"HCOOK                                             ","oxygen                                            ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0,0.00,0.00
7807,"HCOOCs                                            ","oxygen                                            ","Classic                                           ",0.50,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,0.00,0.00,0.00,0,0.00,0.00
7808,"helium                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7809,"hydrogen                                          ","oxygen                                            ","Classic                                           ",7.9e-03,0.00,0,7.9e-03,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.9e-03,0.00,7.9e-03,7.9e-03,7.9e-03,0.00,0.00,0.00,0,0.00,0.00
7810,"nitrogen                                          ","oxygen                                            ","Classic                                           ",-7.8e-03,0.00,0,-7.8e-03,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.8e-03,0.00,-7.8e-03,-7.8e-03,-7.8e-03,0.00,0.00,0.00,0,0.00,0.00
7811,"Ar                                                ","oxygen                                            ","Classic                                           ",0.01,0.00,0,0.01,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0,0.00,0.00
7812,"oxygen                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7813,"CO2                                               ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7814,"H2S                                               ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7815,"methane                                           ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7816,"ethane                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7817,"propane                                           ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7818,"c-propane                                         ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7819,"i-butane                                          ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7820,"n-butane                                          ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7821,"2,2-diom C3                                       ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7822,"c-C4                                              ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7823,"i-pentane                                         ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7824,"n-pentane                                         ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7825,"c-pentane                                         ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7826,"2,2-dim-C4                                        ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7827,"2,3-dimC4                                         ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7828,"2-m-C5                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7829,"3-m-C5                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7830,"n-hexane                                          ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7831,"hexane                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7832,"m-c-C5                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7833,"benzene                                           ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7834,"c-hexane                                          ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7835,"223-tm-C4                                         ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7836,"3,3-dim-C5                                        ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7837,"n-heptane","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
7838,"m-c-C6                                            ","oxygen                                            ","Classic                                           ",0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,"Classic                                           ",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
